Batch,SuccessRate,P50Latency(ms),MeanLatency(ms),StatusCodes,BytesInTotal,BytesInMean
72,0.9,14.128,41.816,"200:3240 503:360",2885542,801.5394444444445
73,0.9088888888888889,12.700,39.692,"200:3272 503:328",2907304,807.5844444444444
74,0.8994444444444445,12.790,40.828,"200:3238 503:362",2883928,801.0911111111111
75,0.8955555555555555,12.082,41.824,"200:3224 503:376",2873276,798.1322222222223
76,0.9005555555555556,11.951,40.334,"200:3242 503:358",2886492,801.8033333333333
77,0.9005555555555556,12.008,41.116,"200:3242 503:358",2885612,801.5588888888889
78,0.8944444444444445,11.817,40.751,"200:3220 503:380",2870778,797.4383333333334
79,0.9083333333333333,12.622,39.702,"200:3270 503:330",2907215,807.5597222222223
80,0.9,12.891,41.331,"200:3240 503:360",2884021,801.1169444444445
81,0.8847222222222222,12.276,43.225,"200:3185 503:415",2846039,790.5663888888889
82,0.9083333333333333,12.715,40.770,"200:3270 503:330",2907261,807.5725
83,0.9158333333333334,13.494,40.643,"200:3297 503:303",2925415,812.6152777777778
84,0.9016666666666666,12.983,40.625,"200:3246 503:354",2889000,802.5
85,0.9047222222222222,12.535,41.149,"200:3257 503:343",2897283,804.8008333333333
86,0.9008333333333334,13.519,45.732,"200:3243 503:357",2886604,801.8344444444444
87,0.8961111111111111,11.742,40.893,"200:3226 503:374",2875762,798.8227777777778
88,0.91,12.605,41.004,"200:3276 503:324",2909819,808.2830555555555
89,0.8938888888888888,11.377,41.986,"200:3218 503:382",2869200,797
90,0.8958333333333334,13.578,42.278,"200:3225 503:375",2874505,798.4736111111112
